ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/14/2020,30,20,7,17,9,15,24,40,78,150,153,192,211,202,174,184,216,199,148,122,100,103,86,70
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/15/2020,44,25,7,4,4,5,13,43,71,111,137,189,233,210,201,158,140,149,108,119,80,55,30,30
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/16/2020,13,4,5,3,8,20,50,84,126,124,136,179,162,222,224,221,214,218,154,151,118,51,40,24
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/17/2020,20,7,4,4,5,19,46,107,129,147,132,169,179,206,228,211,205,193,173,141,108,51,45,25
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/18/2020,7,9,6,1,6,17,58,94,154,136,151,165,152,200,228,189,217,206,219,155,83,58,39,22
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/19/2020,19,4,3,4,9,17,45,78,134,123,137,142,163,223,188,206,246,217,187,170,85,67,48,24
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/20/2020,20,7,2,2,9,19,36,104,126,139,167,177,168,196,266,259,292,274,212,165,109,113,99,75
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/21/2020,25,22,11,8,5,4,26,45,97,146,156,208,234,203,182,209,204,226,156,125,106,91,86,64
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,EB,11/22/2020,25,33,14,7,3,4,20,30,61,138,143,183,196,184,159,178,162,155,121,107,91,54,41,30
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/14/2020,32,21,11,14,13,22,41,91,134,163,201,247,248,223,206,213,203,195,160,152,88,80,56,50
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/15/2020,31,27,8,7,3,8,21,55,76,108,162,196,237,225,179,187,171,137,122,123,103,60,37,29
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/16/2020,21,4,5,0,18,20,51,128,129,157,132,158,190,217,228,272,220,223,173,154,83,58,57,22
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/17/2020,11,10,7,6,17,24,59,125,143,140,140,173,168,217,236,261,217,207,181,180,92,64,44,25
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/18/2020,13,11,7,6,19,16,56,120,145,119,156,174,192,215,259,261,230,229,177,167,108,62,45,27
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/19/2020,22,9,6,6,16,22,60,89,133,134,154,160,191,208,264,219,268,226,196,173,87,66,43,26
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/20/2020,24,12,9,8,14,31,49,130,141,158,151,169,200,221,274,257,255,291,245,170,109,90,75,38
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/21/2020,32,26,13,8,7,13,28,75,136,170,206,233,266,205,217,236,225,176,171,155,86,92,61,65
366,2760,WOODROW ROAD,Everton Avenue,Delmar Avenue,WB,11/22/2020,44,24,13,8,5,8,24,51,88,154,172,165,215,203,188,181,161,131,144,110,92,63,45,24
